;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate chip, homemade;2;32;156;653;2;19;N/A;0,09;9;2,06;10;12;0,08;116;72;18;32;0,01;0,06;0,08;15;;;;
Chocolate chip, refrigerated dough, baked;2;24;118;494;1;16;N/A;0,04;5;1,09;6;7;0,06;56;48;6;18;tr;0,05;0,07;17;;;;
Chocolate coated marshmallow;2;30;129;541;1;21;14;0,06;4;2,02;tr;6;0,09;46;43;11;29;tr;0,06;0,04;11;;;;
Chocolate sandwich;2;20;93;390;1;14;8;0,06;4;1,08;0;4;2,01;97;37;10;18;tr;0,03;0,08;17;;;;
Coconut macaroons, homemade;2;48;194;811;2;35;34;0,09;6;5,04;0;3;0,04;119;75;10;21;tr;0,05;0,04;2;;;;
Fig;2;32;111;466;1;23;15;1,05;2;0,04;0;20;0,09;112;66;9;20;0,01;0,07;0,08;17;;;;
Ginger snaps;2;14;58;244;1;11;3;0,03;1;0,03;0;11;0,09;92;48;7;12;tr;0,04;0,06;20;;;;
Graham crackers, plain or honey;2;14;59;248;1;11;4;0,04;1;0,02;0;3;0,05;85;19;4;15;tr;0,04;0,08;9;;;;
Molasses;2;30;129;539;2;22;5;0,03;4;1,00;0;22;1,09;138;104;16;29;0,01;0,08;1,03;44;;;;
Oatmeal, with raisins, commercial;2;26;117;489;2;18;6;0,07;5;1,02;0;10;0,07;100;37;9;36;0,01;0,06;1,00;19;;;;
Oatmeal, without raisins, homemade;2;30;134;561;2;20;N/A;0,07;5;1,01;11;32;0,08;179;55;13;50;0,01;0,05;0,08;14;;;;
Peanut butter sandwich;2;28;134;560;2;18;10;0,05;6;1,04;0;15;0,07;103;54;14;53;0,01;0,07;1,06;26;;;;
Peanut butter, homemade;2;40;190;794;4;24;N/A;1,05;10;1,08;12;16;0,09;207;92;16;46;0,01;0,08;2,01;32;;;;
Shortbread, commercial, plain;2;16;80;336;1;10;2;0,03;4;1,00;3;6;0,04;73;16;3;17;0,01;0,05;0,08;18;;;;
Shortbread, homemade;2;33;185;773;2;19;7;0,05;12;7,03;31;6;0,07;130;20;4;20;0,01;0,08;1,03;32;;;;
Animal crackers (arrowroot, social tea);2;10;45;187;1;7;1;0,02;1;0,03;0;4;0,03;39;10;2;11;tr;0,03;0,05;17;;;;
Sugar cookies, commercial;2;30;143;600;2;20;11;0,02;6;1,06;15;6;0,06;107;19;4;24;0,01;0,06;1,02;25;;;;
Sugar cookies, homemade;2;32;142;592;2;25;16;0,04;4;1,01;8;18;0,06;72;23;3;23;0,01;0,07;1,00;24;;;;
Vanilla wafers;2;12;57;237;1;9;N/A;0,02;2;0,06;0;3;0,03;37;13;1;8;tr;0,03;0,05;8;;;;
Cakes;;;;;;;;;;;;;;;;;;;;;;;;;
Angelfood, commercial (25cm diam);01-Dec;28;73;306;2;16;N/A;0,04;tr;tr;0;40;0,01;212;26;3;9;tr;0,14;0,06;16;;;;
Angelfood, from mix (25cm diam);01-Dec;50;129;538;3;29;15;0,01;tr;tr;0;42;0,01;255;68;4;116;tr;0,10;0,07;14;;;;
Banana bread, homemade (1 lcm X 6cm X lcm);1 slice;60;196;818;3;33;N/A;0,07;6;1,03;26;13;0,08;181;80;8;35;0,01;0,12;1,04;29;;;;
Boston cream pie, commercial;01-Jun;92;232;970;2;39;33;1,03;8;2,02;34;21;0,03;132;36;6;45;0,04;0,25;0,07;17;;;;
Brownies, commercial (5cm X 5cm);1 square;34;138;576;2;22;12;0,07;6;1,04;6;10;0,08;106;51;11;34;0,00;0,07;0,09;24;;;;
Brownies, homemade (5cm X 5cm);1 square;36;168;702;2;18;N/A;0,08;10;2,06;26;21;0,07;123;63;19;48;0,01;0,07;0,08;14;;;;
Carrot, homemade with cream cheese icing (2 layer, 23cm diam);01-Dec;133;542;2266;5;70;52;1,05;28;3,08;73;49;1,06;201;131;10;70;0,02;0,22;2,07;57;;;;
Cheesecake, commercial (15 cm diam);01-Jun;100;321;1342;6;26;N/A;0,04;23;9,09;55;51;0,06;207;90;11;93;tr;0,19;1,03;20;;;;
Cheesecake, from mix, no-bake type (20cm diam);01-Aug;149;407;1702;8;53;N/A;2,08;19;9,09;43;255;0,07;564;313;28;347;0,02;0,39;2,04;57;;;;
Cheesecake, plain, homemade with cherry topping (20cm diam);01-Aug;168;459;1920;11;55;45;0,08;23;8,08;75;65;1,06;496;146;12;124;tr;0,24;2,08;23;;;;
Chocolate, from mix, with icing (23cm diam);01-Dec;109;362;1513;4;61;47;2,00;13;1,09;43;63;1,06;396;177;27;141;0,01;0,13;1,09;26;;;;
Chocolate, frozen, commercial, with chocolate icing (1 layer, 5cm X 20cm diam);01-Jun;85;282;1180;3;48;37;2,00;10;1,00;33;49;1,00;309;138;21;110;N/A;N/A;1,00;20;;;;
Chocolate, homemade, with icing (2 layer, 23cm diam);01-Dec;109;408;1706;4;67;52;1,09;16;5,00;28;66;2,05;253;138;34;91;0,01;0,15;2,00;36;;;;
Coffee cake, cinnamon with crumb topping, commercial;01-Oct;57;237;991;4;26;N/A;1,01;13;3,03;18;31;1,01;199;70;12;61;0,01;0,13;1,07;46;;;;
Coffee cake, cinnamon with crumb topping, from mix (20cm X 15cm);01-Oct;45;142;596;2;24;13;0,05;4;0,08;22;61;0,06;189;50;8;96;0,01;0,08;1,02;33;;;;
Fruitcake, commercial;1 piece;43;139;583;1;26;13;1,06;4;0,05;2;14;0,09;116;66;7;22;tr;0,04;0,06;14;;;;
Gingerbread, from mix (23cm X 23cm);01-Sep;69;212;889;3;35;22;0,08;7;1,08;22;47;2,03;315;166;11;113;0,01;0,13;1,09;28;;;;
Pound cake, homemade (23cm X 13cm X 7.5cm);01-Oct;91;391;1633;5;42;22;0,04;23;4,01;96;22;2,01;368;66;7;59;0,02;0,23;3,00;62;;;;
Shortcake, biscuit-type, homemade (4cm X 7.5cm diam);1;75;234;978;5;34;8;1,00;8;2,04;28;106;1,07;459;96;12;100;0,02;0,24;3,01;72;;;;
Sponge, commercial, individual shell;1;25;72;302;1;15;9;0,01;1;0,02;26;18;0,07;61;25;3;34;0,00;0,07;0,08;18;;;;
Sponge, homemade (25cm diam);01-Dec;63;187;782;5;36;N/A;0,02;3;0,08;107;26;1,00;144;89;6;63;0,01;0,19;1,07;33;;;;
White, from mix, with icing (2 layer, 23cm diam);01-Dec;109;363;1518;3;66;51;0,09;10;1,06;N/A;41;0,09;342;76;15;138;0,01;0,12;1,09;47;;;;
White, homemade, with icing (2 layer, 23cm diam);01-Dec;109;371;1553;3;70;56;0,03;9;2,05;1;50;1,03;205;55;5;41;0,01;0,14;1,09;33;;;;
White, frozen, commercial, with icing (1 layer, 5cm X 20cm diam);01-Jun;85;283;1184;2;52;40;1,00;8;1,00;0;32;1,00;266;59;12;108;N/A;N/A;1,00;37;;;;
Yellow, from mix, with icing (2 layer, 23cm diam);01-Dec;109;363;1519;4;64;47;0,09;11;2,00;46;60;1,01;338;74;15;137;0,01;0,14;2,00;57;;;;
Pies;;;;;;;;;;;;;;;;;;;;;;;;;
Apple, commercial, 2 crust (23cm diam);01-Aug;125;296;1239;2;43;20;2,00;14;4,07;0;14;0,06;333;81;9;30;tr;0,03;0,09;54;;;;
Apple, homemade, 2 crust (23cm diam);01-Aug;155;411;1717;4;58;N/A;2,03;19;4,07;0;11;1,07;327;122;11;43;0,02;0,17;2,07;59;;;;
Banana cream, from mix, no-bake type (23cm diam);01-Aug;92;231;966;3;29;N/A;0,06;12;6,04;27;67;0,04;267;104;11;154;0,01;0,13;1,04;28;;;;
Butter tart;1;54;248;1038;2;29;15;0,07;14;5,06;30;22;1,01;164;109;10;35;0,01;0,10;1,05;35;;;;
Cherry, commercial, 2 crust (23cm diam);01-Aug;125;325;1359;3;50;18;1,00;14;3,02;0;15;2,00;308;101;10;36;0,02;0,16;2,05;50;;;;
Chocolate cream, commercial (20cm diam);01-Jun;113;344;1436;3;38;N/A;2,03;22;5,06;6;41;1,02;154;144;24;77;tr;0,12;1,04;19;;;;
Coconut cream, commercial (20cm diam);01-Jun;64;191;797;1;24;23;0,08;11;4,05;0;19;0,05;163;42;13;54;tr;0,05;0,04;5;;;;
Fried pie, fruit (13cm X 10cm);1;128;404;1692;4;55;27;3,03;21;3,01;0;28;1,06;479;83;13;55;0,02;0,14;2,07;36;;;;
Lemon meringue, commercial (20cm diam);01-Jun;113;303;1267;2;53;27;1,04;10;2,00;51;63;0,07;165;101;17;119;0,01;0,24;1,01;40;;;;
Mincemeat pie, homemade, 2 crust (23cm diam);01-Aug;165;477;1995;4;79;47;4,03;18;4,04;0;36;2,05;419;335;23;69;0,02;0,17;2,07;59;;;;
Pecan, commercial (20cm diam);01-Jun;113;452;1890;5;65;32;4,00;21;4,00;36;19;1,02;479;84;20;87;0,01;0,14;1,05;61;;;;
Pumpkin, commercial (20cm diam);01-Jun;109;229;957;4;30;15;2,09;10;1,09;22;65;1,05;307;168;16;77;0,02;0,22;1,09;35;;;;
Sugar pie, homemade, 1 crust;01-Aug;88;407;1703;3;31;18;0,05;31;17,03;84;61;1,01;81;139;13;59;0,01;0,15;1,06;34;;;;
Other Baked Goods;;;;;;;;;;;;;;;;;;;;;;;;;
Apple crisp, homemade;125mL;128;206;863;2;39;25;1,08;4;0,09;0;45;1,00;449;100;10;36;0,01;0,10;N/A;31;;;;
Bread pudding with raisins, homemade;125mL;106;162;677;6;24;15;0,09;5;1,08;61;124;1,02;252;228;18;111;0,01;0,26;2,01;31;;;;
Danish pastry, cinnamon (1 lcm diam);1;65;262;1095;5;29;13;0,08;15;3,07;14;46;1,03;241;81;12;70;0,02;0,17;2,08;60;;;;
Danish pastry, fruit (1 lcm diam);1;71;263;1102;4;34;20;1,03;13;3,05;81;33;1,03;251;59;11;63;0,02;0,16;2,02;49;;;;
Date squares, homemade;1 square;61;226;944;3;37;N/A;2,03;8;4,07;20;21;2,00;241;154;23;61;0,02;0,08;1,07;31;;;;
Doughnut, cake-type, plain (8cm diam);1;47;198;828;2;23;11;0,07;11;1,07;17;21;0,09;257;60;9;126;0,01;0,11;1,04;39;;;;
Doughnut, cake-type, plain, chocolate coated (9cm diam);1;57;270;1130;3;27;13;1,01;18;4,06;35;20;1,04;245;112;23;115;0,01;0,06;1,04;39;;;;
Doughnut, yeast-leavened, honey bun, glazed (9cm x 6cm);1;60;242;1011;4;27;14;0,07;14;3,05;4;26;1,02;205;65;13;56;0,02;0,13;2,05;41;;;;
Doughnut, yeast-leavened, jelly filled (9cm X 6cm);1;85;289;1209;5;33;18;0,08;16;4,01;22;21;1,05;249;67;17;72;0,03;0,12;2,08;88;;;;
Eclairs, custard filled, chocolate glaze;1;100;262;1096;6;24;7;0,06;16;4,01;127;63;1,02;337;117;15;107;0,01;0,27;2,01;63;;;;
Rice Krispies SquaresTM , commercial;1 square;22;91;381;1;18;N/A;0,01;2;0,03;0;1;0,03;77;9;3;9;0,03;0,30;3,07;38;;;;
Toaster pastries (Pop-TartsTM), brown sugar & cinnamon;1;50;206;862;3;34;N/A;0,05;7;1,08;0;17;2,00;212;57;12;67;0,02;0,29;2,08;21;;;;
Toaster pastries (Pop-TartsTM), fruit, frosted;1;55;215;900;2;39;20;0,04;6;1,05;0;16;3,09;387;81;13;75;0,02;0,20;N/A;39;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Beta-carotene;Lycopene;Folate;Vitamin C;Vitamin B12;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;mg;mg;mg;mg;mg;mg;RAE;mcg;mcg;DFE;mg;mcg;;;;
Vegetables and Vegetable Products;;;;;;;;;;;;;;;;;;;;;;;;;
Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;
Alfalfa sprouts, raw;60mL;8;2;10;tr;tr;tr;0,02;tr;3;0,01;0,00;7;2;6;00.00;7;0;3;1;0;;;;
Artichoke hearts, canned in water;1 heart;27;13;56;1;3;tr;1,00;tr;12;0,03;74;95;16;00.00;2;28;0;14;3;0;;;;
Artichoke hearts, marinated in oil;1 heart;28;27;111;1;3;tr;1,00;2;12;0,03;79;93;16;00.00;2;28;0;13;3;0;;;;
Artichoke, boiled, drained;1 medium;120;60;251;4;13;1;4,07;tr;0,00;1,05;114;425;0,00;103;11;127;0;61;12;0;;;;
Asparagus, canned, drained;6 spears;108;21;85;2;3;1;1,05;1;0,00;2,00;310;186;0,00;46;44;532;26;104;20;0;;;;
Asparagus, fresh or frozen, boiled, drained;6 spears;90;18;75;2;3;1;1,06;tr;18;0,07;8;178;11;46;41;489;24;128;14;0;;;;
Bean sprouts, stir-fried;125mL;66;33;137;3;7;N/A;1,02;tr;9;1,02;6;0,00;22;52;1;12;N/A;46;10;0;;;;
Beans, lima, frozen, boiled, drained;125mL;95;100;417;6;18;1;4,00;tr;27;1,09;28;0,00;53;107;8;95;0;15;6;0;;;;
Beans, snap (green, yellow, Italian), canned, drained;125mL;71;14;60;1;3;1;1,05;tr;19;0,06;187;0,00;9;14;16;186;0;23;2;0;;;;
Beans, snap (green, yellow, Italian), fresh or frozen, boiled, drained;125mL;71;22;94;1;5;1;1,09;tr;33;0,05;4;0,00;15;21;22;269;0;20;5;0;;;;
Beets, pickled, sliced, not drained;125mL;120;78;326;1;20;N/A;2,02;tr;13;0,05;317;0,00;18;20;1;7;N/A;32;3;0;;;;
Beets, sliced, boiled, drained;125mL;90;40;165;2;9;7;1,08;tr;14;0,07;69;0,00;21;34;2;19;0;72;3;0;;;;
Beets, sliced, canned, drained;125mL;90;28;117;1;6;5;1,09;tr;13;1,06;174;0,00;15;15;1;13;0;27;6;0;;;;
Belgium endive, raw;1 endive;53;9;38;tr;2;N/A;1,06;tr;10;0,01;1;0,00;5;14;1;9;N/A;20;1;0;;;;
Bok Choy, Pak-Choi, shredded, boiled, drained;125mL;90;11;45;1;2;1;0,09;tr;84;0,09;31;0,00;10;26;190;2289;0;37;23;0;;;;
Broccoli, chopped, boiled, drained;125mL;82;29;120;2;6;1;2,00;tr;33;0,06;34;0,00;17;55;81;973;0;89;53;0;;;;
Broccoli, chopped, raw;125mL;46;16;66;1;3;1;1,01;tr;22;0,03;15;0,00;10;31;15;178;0;29;41;0;;;;
Broccoli, frozen spears, boiled, drained;125mL;97;27;114;3;5;1;2,03;tr;50;0,06;23;0,00;19;53;54;645;0;29;39;0;;;;
Brussels sprouts, fresh or frozen, boiled, drained;4 sprouts;84;33;137;3;6;2;3,02;tr;26;0,07;15;255;16;47;36;428;0;68;45;0;;;;
Cabbage, green, shredded, boiled, drained;125mL;79;17;73;1;4;2;1,03;tr;25;0,01;6;77;6;12;6;59;0;16;16;0;;;;
Cabbage, green, shredded, raw;125mL;37;9;37;1;2;1;0,07;tr;17;0,02;7;91;6;9;3;33;0;16;12;0;;;;
Cabbage, napa, shredded, boiled, drained;125mL;58;7;29;1;1;N/A;N/A;tr;17;0,04;6;50;5;11;7;77;0;25;2;0;;;;
Cabbage, red, shredded, raw;125mL;37;11;48;1;3;1;0,08;tr;17;0,03;10;90;6;11;21;248;7;7;21;0;;;;
Carrots, baby, raw;8;80;28;117;1;7;4;1,04;tr;26;0,07;62;190;8;22;552;5113;0;26;7;0;;;;
Carrots, fresh or frozen, boiled, drained;125mL;77;28;116;1;6;3;1,09;tr;25;0,03;45;165;8;24;652;6333;1;10;2;0;;;;
Carrots, raw;1 medium;61;25;104;1;6;3;1,05;tr;20;0,02;42;195;7;21;367;3522;1;12;4;0;;;;
Cauliflower, pieces, boiled, drained;125mL;66;15;63;1;3;1;1,08;tr;10;0,02;10;93;6;21;1;5;0;29;29;0;;;;
Cauliflower, pieces, raw;125mL;53;13;55;1;3;1;0,09;tr;12;0,02;16;160;8;23;1;4;0;30;25;0;;;;
Celery, raw;1 stalk;40;6;24;tr;1;1;0,06;tr;16;0,01;32;104;4;10;9;108;0;14;1;0;;;;
Corn, sweet, canned, cream style;125mL;135;97;407;2;25;4;1,08;1;4;0,05;385;181;23;69;5;41;0;61;6;0;;;;
Corn, sweet, canned, niblets;125mL;111;88;366;3;22;4;2,03;1;6;0,05;302;206;26;71;4;37;0;54;6;0;;;;
Corn, sweet, on or off cob, fresh or frozen, boiled, drained;125mL;87;82;343;3;19;3;2,00;1;2;0,05;8;209;26;79;7;50;0;35;4;0;;;;
Cucumber, peeled, raw;4 slices;28;3;14;tr;1;tr;0,02;tr;4;0,01;1;38;3;6;1;9;0;4;1;0;;;;
Edamame;125mL;82;100;417;9;8;2;4,03;4;52;1,09;5;357;52;138;N/A;N/A;N/A;255;5;0;;;;
Eggplant, pieces, boiled, drained;125mL;52;18;76;tr;5;2;1,03;tr;3;0,01;1;64;6;8;1;12;0;7;1;0;;;;
Fiddleheads, frozen, boiled;125mL;98;33;139;4;6;N/A;0,09;tr;27;1,00;tr;244;26;78;171;1911;N/A;N/A;22;0;;;;
Fireweed leaves, raw;125mL;12;13;52;1;2;N/A;1,03;tr;52;0,03;4;60;19;13;22;262;N/A;14;tr;0;;;;
Hearts of palm, canned;2;66;18;77;2;3;N/A;1,06;tr;38;2,01;281;117;25;43;0;0;N/A;26;5;0;;;;
Kale, chopped, boiled, drained;125mL;69;19;80;1;4;1;1,04;tr;49;0,06;16;157;12;19;468;5613;0;9;28;0;;;;
Leeks, chopped, boiled, drained;125mL;55;17;71;tr;4;N/A;0,05;tr;16;0,06;5;48;8;9;1;15;N/A;13;2;0;;;;
Lettuce, Boston, shredded;250mL;58;8;31;1;1;1;0,06;tr;20;0,07;3;138;8;19;96;1155;0;42;2;0;;;;
Lettuce, iceberg, shredded;250mL;58;8;34;1;2;1;0,07;tr;10;0,02;6;82;4;12;15;174;0;17;2;0;;;;
Lettuce, looseleaf, shredded;250mL;59;9;37;1;2;tr;0,08;tr;21;0,05;17;115;8;17;219;2629;0;22;11;0;;;;
Lettuce, romaine, shredded;250mL;59;10;42;1;2;1;1,02;tr;20;0,06;5;146;8;18;172;2062;0;80;14;0;;;;
Lettuce, spring mix (mesclun);250mL;58;12;50;1;2;tr;1,01;tr;43;0,07;21;202;19;23;124;1489;0;62;9;0;;;;
Mushrooms, pieces, canned, drained;125mL;82;21;87;2;4;2;2,03;tr;9;0,07;350;106;12;54;0;0;0;10;1;0;;;;
Mushrooms, portobello, grilled;125mL;85;30;124;4;4;0;1,09;1;3;0,05;9;443;13;128;0;0;0;16;0;0;;;;
Mushrooms, raw;3 medium;54;12;50;2;2;1;0,06;tr;2;0,03;2;170;5;46;0;0;0;9;1;00.02;;;;
Mushrooms, shiitake, sliced, stir-fried;125mL;57;27;115;2;4;tr;2,01;tr;1;0,03;3;186;11;63;0;0;0;8;0;0;;;;
Mushrooms, white, sliced, stir-fried;125mL;57;15;62;2;2;0;1,00;tr;2;0,01;7;226;6;60;0;0;0;11;0;0;;;;
nions, green (scallion), raw;1 medium;15;5;20;tr;1;tr;0,04;tr;11;0,02;2;41;3;6;8;90;0;10;3;0;;;;
Onions, yellow, chopped, raw;60mL;41;17;71;tr;4;2;0,06;tr;9;0,01;1;58;4;11;0;tr;0;8;3;0;;;;
Onions, yellow, chopped, sauteed;125mL;46;61;254;tr;4;2;0,08;5;9;0,01;6;61;4;15;N/A;N/A;N/A;N/A;1;0;;;;
Parsnip, sliced, boiled, drained;125mL;82;59;245;1;14;4;2,07;tr;30;0,05;8;302;24;57;0;0;0;48;11;0;;;;
Peas, green, canned, drained;125mL;90;62;260;4;11;4;4,00;tr;18;0,09;226;155;15;60;24;287;0;40;9;0;;;;
Peas, green, frozen, boiled, drained;125mL;85;66;276;4;12;4;3,07;tr;20;1,03;61;93;19;65;89;1057;0;50;8;0;;;;
Peas, snowpeas, boiled, drained;125mL;85;36;149;3;6;3;2,04;tr;36;1,07;3;203;22;46;44;505;0;25;40;0;;;;
Peas, snowpeas, raw;10;34;14;60;1;3;1;0,06;tr;15;0,07;1;68;8;18;18;214;0;14;20;0;;;;
Pepper, jalapeno, raw;1;14;4;18;tr;1;tr;0,04;tr;1;0,01;tr;30;3;4;6;64;0;7;6;0;;;;
Pepper, sweet, green, raw;01-Feb;82;16;69;1;4;2;1,02;tr;8;0,03;2;144;8;16;15;171;0;9;66;0;;;;
Pepper, sweet, green, sauteed;125mL;74;95;396;1;3;2;1,03;9;6;0,02;13;100;6;11;8;101;0;1;132;0;;;;
Pepper, sweet, red, raw;01-Feb;60;15;65;1;4;2;0,08;tr;4;0,03;;126;7;15;93;966;183;11;113;0;;;;
Pepper, sweet, red, sauteed;125mL;74;99;413;1;5;3;1,03;9;5;0,04;16;144;9;17;98;1169;361;1;121;0;;;;
Pepper, sweet, yellow, raw;01-Feb;93;25;105;1;6;N/A;0,08;tr;10;0,04;2;197;11;22;9;112;N/A;24;171;0;;;;
Pepper, sweet, yellow, sauteed;125mL;74;36;149;1;5;0;0,06;2;9;0,03;175;153;9;18;30;86;0;19;132;tr;;;;
Potato, baked, flesh;1;156;145;607;3;34;3;3,04;tr;8;0,05;8;610;39;78;0;0;0;14;20;0;;;;
Potato, baked, flesh and skin;1;173;161;673;4;37;2;3,08;tr;26;1,09;17;926;48;121;2;10;0;48;17;0;;;;
Potato, boiled without skin;1;135;116;486;2;27;1;1,09;tr;11;0,04;7;443;27;54;0;3;0;12;10;0;;;;
Potato, boiled, flesh and skin;1;150;129;540;3;30;1;2,05;tr;13;1,03;7;572;34;67;0;0;0;15;18;0;;;;
Potato, canned, drained;4;140;84;351;2;19;N/A;1,03;tr;7;1,08;307;321;20;39;0;0;0;8;7;0;;;;
Potato, microwaved, flesh and skin;1;202;212;887;5;49;N/A;5,01;tr;22;2,05;16;903;55;212;0;0;0;24;31;0;;;;
Potato, microwaved, peeled after cooking;1;156;156;652;3;36;N/A;3,04;tr;8;0,06;11;641;39;170;0;0;0;19;24;0;;;;
Potatoes, French fried, frozen, home-prepared in oven;20 strips;48;96;403;2;15;tr;1,06;4;4;0,06;14;201;11;40;0;1;0;6;5;0;;;;
Potatoes, hashed brown, plain, frozen, heated;125mL;82;180;752;3;23;1;1,08;9;12;1,02;28;359;14;59;0;0;0;6;5;0;;;;
Potatoes, mashed, dried, with 2% milk and margarine;125mL;111;107;447;3;15;2;1,01;4;46;0,02;284;235;15;59;61;2;0;8;14;00.13;;;;
Potatoes, mashed, homemade with 2% milk and margarine;125mL;111;116;487;2;19;N/A;2,02;4;29;0,03;327;321;20;51;19;N/A;0;9;7;00.06;;;;
Potatoes, scalloped, from mix with water, with 2% milk and margarine;125mL;129;120;502;3;16;2;1,00;5;66;0,04;420;243;17;81;64;1;0;8;3;00.11;;;;
Potatoes, scalloped, homemade;125mL;129;111;466;4;14;N/A;2,05;5;74;0,07;434;489;25;82;N/A;83;0;16;14;0;;;;
Pumpkin, canned;125mL;129;44;184;1;10;4;3,08;tr;34;1,08;6;267;30;45;1007;8983;0;16;5;0;;;;
Radicchio, chopped;125mL;21;5;20;tr;1;tr;0,02;tr;4;0,01;5;64;3;8;tr;3;0;13;2;0;;;;
Radishes;3 medium;14;2;9;tr;tr;tr;0,02;tr;3;tr;5;31;1;3;0;1;0;3;2;0;;;;
Rutabaga (yellow turnip), diced, boiled, drained;125mL;90;35;146;1;8;5;1,06;tr;43;0,05;18;293;21;50;13;1;0;13;17;0;;;;
Sauerkraut, canned, not drained;125mL;75;14;59;1;3;1;1,09;tr;23;1,01;496;128;10;15;1;6;0;18;11;0;;;;
Seaweed, dulse, dried;60mL;4;8;35;1;1;tr;0,01;tr;17;0,04;11;84;tr;14;62;740;N/A;35;9;0;;;;
Spinach, boiled, drained;125mL;95;22;91;3;4;tr;2,03;tr;129;3,04;67;443;83;53;498;5980;0;139;9;0;;;;
Spinach, chopped, raw;250mL;32;7;30;1;1;tr;0,07;tr;31;0,09;25;177;25;16;149;1783;0;61;9;0;;;;
Squash, acorn, cubed, baked;125mL;108;61;253;1;16;N/A;2,01;tr;48;1,00;4;473;47;49;23;277;N/A;21;12;0;;;;
Squash, butternut, cubed, baked;125mL;108;43;181;1;11;2;1,08;tr;44;0,06;4;308;31;29;413;4950;0;21;16;0;;;;
Squash, spaghetti, baked;125mL;82;22;93;1;5;2;0,09;tr;17;0,03;15;96;9;11;5;48;0;7;3;0;;;;
Sweet potato, baked, peeled after cooking;01-Feb;57;51;214;1;12;5;1,09;tr;22;0,04;21;271;15;31;548;6560;0;3;11;0;;;;
Sweet potato, boiled without skin;01-Feb;76;57;240;1;13;4;1,09;tr;20;0,05;20;174;14;24;594;7130;0;5;10;0;;;;
Swiss chard, chopped, boiled, drained;125mL;92;18;78;2;4;1;1,09;tr;54;2,01;165;508;80;31;283;3376;0;8;17;0;;;;
Tomatoes, canned, stewed;125mL;135;35;147;1;8;6;1,04;tr;46;1,08;298;279;16;27;12;140;5436;7;11;0;;;;
Tomatoes, canned, whole;125mL;127;22;90;1;5;3;1,00;tr;39;1,02;162;238;14;24;8;89;3423;10;18;0;;;;
Tomatoes, raw;1;123;22;92;1;5;3;1,05;tr;12;0,03;6;292;14;30;52;552;3165;18;16;0;;;;
Tomatoes, sun-dried;1 piece;2;5;22;tr;1;1;0,02;tr;2;0,02;42;69;4;7;1;10;815;1;1;0;;;;
Tomatoes, sun-dried, packed in oil, drained;1 piece;3;6;27;tr;1;N/A;0,02;tr;1;0,01;8;47;2;4;2;23;N/A;1;3;0;;;;
Turnip (white turnip), cubed, boiled, drained;125mL;82;18;76;1;4;2;1,06;tr;27;0,01;13;146;7;21;0;0;0;7;10;0;;;;
"Vegetables, Asian mix (broccoli, carrots, green beans, ""mini corn"", snow peas, sweet red pepper), frozen, boiled, drained";125mL;74;29;122;1;6;2;1,08;tr;24;0,05;15;128;13;32;192;1878;tr;23;22;0;;;;
Vegetables, broccoli and cauliflower, frozen, boiled, drained;125mL;95;22;93;2;4;1;2,04;tr;33;0,05;20;152;14;38;27;322;0;34;34;0;;;;
Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained;125mL;96;63;262;3;13;3;2,08;tr;24;0,08;34;163;21;49;206;2002;0;18;3;0;;;;
Vegetables, peas and carrots, canned, not drained;125mL;135;51;214;3;11;N/A;2,07;tr;31;1,00;350;135;19;62;389;0;N/A;24;9;0;;;;
Zucchini, raw, slices;4;40;6;27;tr;1;1;0,04;tr;6;0,01;4;104;7;15;4;48;0;11;7;0;;;;
Zucchini, sliced, boiled, drained;125mL;95;15;64;1;4;2;1,03;tr;12;0,03;3;241;21;38;53;637;0;16;4;0;;;;
Vegetable Juices and Other Products;;;;;;;;;;;;;;;;;;;;;;;;;
Carrot juice;125mL;125;50;208;1;12;5;1,00;tr;30;0,06;36;364;17;52;966;11599;2;5;11;0;;;;
Coleslaw with dressing, homemade;125mL;63;44;183;1;8;N/A;1,00;2;29;0,04;15;115;6;20;34;87;N/A;17;21;0;;;;
Potato salad, homemade;125mL;132;205;858;4;14;3;1,04;15;28;0,07;579;276;17;66;57;183;0;22;17;0,20;;;;
Tomato clam cocktail;125mL;128;61;257;1;14;4;0,05;tr;10;0,02;462;114;6;14;9;163;3807;10;6;0,04;;;;
Tomato juice;125mL;128;22;91;1;5;5;0,09;tr;13;0,06;345;294;14;23;30;347;11602;26;10;0;;;;
Tomato juice, without added salt;125mL;184;31;131;1;8;7;0,07;tr;18;0,08;18;421;20;33;42;N/A;16611;37;34;0;;;;
